%  Stalagmite H5, Hoti, Oman (Neff et al., 2001)
%
%  Age years BP     d18O
%
8095.6    -4.51
8096.2    -4.97
8096.7    -4.95
8097.3    -4.86
8097.9    -4.99
8098.4    -5.35
8099.0    -4.13
8099.6    -3.88
8100.1    -3.87
8100.7    -4.26
8101.3    -4.68
8101.8    -4.79
8102.4    -4.66
8102.9    -4.75
8103.5    -4.81
8104.1    -4.62
8104.6    -4.81
8105.2    -4.57
8105.8    -4.30
8106.3    -4.10
8106.9    -4.34
8107.5    -4.42
8108.0    -4.06
8108.6    -4.01
8109.2    -4.22
8109.7    -4.73
8110.3    -5.28
8110.8    -4.90
8111.4    -5.09
8112.0    -5.02
8112.5    -5.13
8113.1    -4.93
8113.7    -4.99
8114.2    -5.14
8114.8    -4.64
8115.4    -4.10
8115.9    -4.78
8116.5    -4.55
8117.1    -5.53
8117.6    -5.75
8118.2    -5.40
8118.7    -5.75
8119.3    -5.45
8119.9    -5.56
8120.4    -5.67
8121.0    -5.56
8121.6    -5.63
8122.1    -5.23
8122.7    -5.72
8123.3    -5.44
8123.8    -5.52
8124.4    -4.57
8124.9    -5.16
8125.5    -4.96
8126.1    -4.76
8126.6    -5.61
8127.2    -5.35
8127.8    -5.52
8128.3    -5.60
8128.9    -5.36
8129.5    -5.74
8130.0    -6.01
8130.6    -5.22
8131.2    -4.67
8131.7    -4.95
8132.3    -4.93
8132.8    -5.46
8133.4    -5.22
8134.0    -4.36
8134.5    -4.39
8135.1    -4.99
8135.7    -3.73
8136.2    -4.72
8136.8    -4.87
8137.4    -4.82
8137.9    -4.10
8138.5    -4.71
8139.1    -5.12
8139.6    -3.92
8140.2    -4.53
8140.7    -5.04
8141.3    -4.90
8141.9    -4.81
8142.4    -5.17
8143.0    -5.20
8159.9    -5.03
8176.8    -5.47
8193.6    -5.01
8210.5    -5.28
8227.4    -5.11
8244.3    -5.05
8261.1    -5.07
8278.0    -4.44
8294.9    -4.04
8311.8    -4.70
8328.6    -4.32
8345.5    -5.30
8362.4    -5.05
8379.3    -5.60
8396.1    -5.94
8413.0    -5.35
8429.9    -4.78
8446.8    -5.14
8463.6    -5.28
8480.5    -5.52
8497.4    -4.62
8514.3    -5.10
8531.1    -5.03
8548.0    -5.06
8564.9    -5.40
8581.8    -5.65
8598.7    -5.53
8615.5    -5.61
8632.4    -5.07
8649.3    -5.16
8666.2    -4.82
8683.0    -5.02
8699.9    -5.04
8716.8    -5.11
8733.7    -5.24
8750.5    -5.23
8767.4    -4.81
8784.3    -4.57
8801.2    -5.40
8818.0    -4.93
8839.1    -4.79
8855.8    -5.24
8872.5    -5.11
8889.1    -5.51
8905.8    -5.37
8922.5    -4.71
8939.1    -5.04
8955.8    -5.25
8972.5    -4.46
8987.2    -4.71
8990.0    -5.44
